freq 24 and up ,collocate ,有對有錯,有對有錯error type,,有對有錯error type,freq
發現 兩 [1]{輛} [2]{客車} 內 共 載有 十 名 危重 缺氧 遊客,1,,,,,
烏克蘭 將 在 二零零七年 年底 前 從 中國 進口 一千 [1]{輛} [2]{客車},1,,,,,
"539,141,口,水井,0.014452366158366203,0.012074923142790794,Nf,Na",1,,,,,
建置 一百八十 [1]{口} 監測 [2]{水井},1,,,,,
河床 上 的 錳渣 幾乎 淹沒 溶溪鎮甘溪村 兩 [1]{口} [2]{水井},1,,,,,
目前 大寮 水源 站 內 與 義和村 周遭 共有 十九 [1]{口} 深 [2]{水井},1,,,,,
台塑 公司 在 大樹鄉 和 山村 的 兩 [1]{口} 深 [2]{水井} 因 離 高屏溪 較 遠,1,,,,,
雲林縣 境 內 有 二千四百九十一 [1]{口} 私有 違法 [2]{水井},1,,,,,
"540,140,度,高溫,0.012133592739701271,0.007890007458627224,Nf,Na",1,,,,,
在 三十幾 [1]{度} 的 [2]{高溫} 下,1,,,,,
打破 昨天 三十五點七 [1]{度} 的 今年 [2]{高溫} 紀錄,1,,,,,
基隆 曾經 出現 過 三十八點八 [1]{度} 的 [2]{高溫},1,,,,,
三十多 [1]{度} [2]{高溫} 下,1,,,,,
抵 受 著 三十多 [1]{度} 的 [2]{高溫},1,,,,,
"541,140,派,代表,0.010639553889632225,0.009144306182861328,Nf,Na",4,,,,,
各 [1]{派} 兩 隊 [2]{代表} 前往 韓國 參賽,4,,,,,
捷運局 與 三 家 包商 將 各 [1]{派} [2]{代表},4,,,,,
畢竟 各 個 主要 政黨 都 有 [1]{派} [2]{代表} 參加,4,,,,,
衛生 署長 侯勝茂 和 行政院 各 部會 都 有 [1]{派} [2]{代表} 參觀 演習,4,,,,,
縣府 還是 有 [1]{派} [2]{代表} 前往 參加,4,,,,,
"542,140,位,候選人,0.008700676262378693,0.0044776443392038345,Nf,Na",1,,,,,
甚至 哪 [1]{位} [2]{候選人} 可能 買 票,1,,,,,
對 媒體 詢問 退選 後 支持 哪 [1]{位} [2]{候選人},1,,,,,
高縣 有 九百零五 [1]{位} 村里長 [2]{候選人},1,,,,,
高縣 村里長 選舉 有 九百零五 [1]{位} [2]{候選人},1,,,,,
但 仍 謹慎 地 避免 被 認為 是 在 支持 哪 [1]{位} [2]{候選人},1,,,,,
"543,140,番,功夫,0.009899022057652473,0.008064022287726402,Nf,Na",1,,,,,
縣府 要 費 一 [1]{番} [2]{功夫} 才 能 追查到 上游 製造業,1,,,,,
費 了 一 [1]{番} [2]{功夫} 才 告捷,1,,,,,
鑑識 人員 費 了 一 [1]{番} [2]{功夫} 才 將 車窗 打破,1,,,,,
費 了 一 [1]{番} [2]{功夫},1,,,,,
警方 起出 械彈 過程 也 耗費 一 [1]{番} [2]{功夫},1,,,,,
"544,140,個,環節,0.011495852842926979,0.003962784539908171,Nf,Na",1,,,,,
國內 在 兩 [1]{個} [2]{環節} 受到 限制,1,,,,,
注意 各 [1]{個} [2]{環節},1,,,,,
希望 能 將 每 [1]{個} [2]{環節} 打通,1,,,,,
詳細 敘說 從 懷孕 開始 到 順利 生產 每 [1]{個} 可能 影響 新 生命 的 [2]{環節},1,,,,,
必須 緊扣 打擊 犯罪 各 [1]{個} [2]{環節},1,,,,,
"545,140,項,聲明,0.008597012609243393,0.005472627002745867,Nf,Na",1,,,,,
扁宋 會 達成 十 [1]{項} [2]{聲明},1,,,,,
在 台海 問題 上 就 有 了 二 [1]{項} [2]{聲明},1,,,,,
艾塔 組織 的 上 [1]{項} 永遠 停火 的 [2]{聲明},1,,,,,
司改 會 在 第二 [1]{項} [2]{聲明} 認為,1,,,,,
管碧玲 的 四 [1]{項} [2]{聲明} 是 高雄 市長 初選 爭議 不斷,1,,,,,
"546,139,場,硬戰,0.017132261767983437,0.00831491407006979,Nf,Na",1,,,,,
打好 未來 的 三 [1]{場} [2]{硬戰},1,,,,,
也 會 是 [1]{場} 艱苦 的 [2]{硬戰},1,,,,,
下 週 比賽 將 會 是 一 [1]{場} [2]{硬戰},1,,,,,
這 [1]{場} 比賽 仍 將 是 場 [2]{硬戰},1,,,,,
他們 還 有 一 [1]{場} 立法 [2]{硬戰} 要 打,1,,,,,
"547,139,些,時候,0.005661858711391687,0.005546496249735355,Nf,Na",1,,,,,
但 醫生 希望 他 多 住 [1]{些} [2]{時候},1,,,,,
不 排除 過 [1]{些} [2]{時候},1,,,,,
過 [1]{些} [2]{時候} 就 會 寫出 文章,1,,,,,
過 [1]{些} [2]{時候} 再 努力 引進 其他 服務,1,,,,,
等 [1]{些} [2]{時候},1,,,,,
"548,139,種,藥物,0.009154814295470715,0.006588070187717676,Nf,Na",1,,,,,
結果 二 [1]{種} [2]{藥物} 不相上下,1,,,,,
數十 個 國家 已經 下令 貯存 此 [1]{種} [2]{藥物} 供 本 國 需要,1,,,,,
目前 每 一 [1]{種} [2]{藥物} 的 開發 都 須要 發展 至少 十 年 到 十五 年,1,,,,,
基因體 中心 計劃 繼續 用 自己 的 演算法 找出 約 兩千 [1]{種} 更 可能 有效 的 [2]{藥物} 結構,1,,,,,
嘗試 過 五 [1]{種} 司 他 汀 [2]{藥物},1,,,,,
"549,139,本,雜誌,0.012751283124089241,0.004810386803001165,Nf,Na",1,,,,,
這 [1]{本} [2]{雜誌} 是 一九二零年 日本 滅亡 南 朝鮮 時,1,,,,,
未來 可 不必 單 買 一 [1]{本} [2]{雜誌},1,,,,,
但是 伊斯蘭 領袖 宣稱 這 [1]{本} [2]{雜誌} 將 敗壞 已經 飽受 西方 影響 的 印尼 文化,1,,,,,
這 [1]{本} [2]{雜誌} 的 出現 將 對 其 文化 產生 墮落 作用,1,,,,,
多數 英國 媒體 除了 譴責 並 呼籲 商家 抵制 進口 這 [1]{本} [2]{雜誌},1,,,,,
"550,138,公升,汽油,0.012520283460617065,0.012215428054332733,Nf,Na",1,,,,,
即 每 [1]{公升} [2]{汽油} 八分,1,,,,,
共計 消耗 了 二十萬 [1]{公升} 的 [2]{汽油},1,,,,,
然後 開始 將 攜帶 的 兩 [1]{公升} [2]{汽油} 倒 在 公車 走道 中,1,,,,,
每 [1]{公升} [2]{汽油} 調漲 一 元,1,,,,,
每 [1]{公升} 高辛烷 [2]{汽油} 也 降價 百分之二十五,1,,,,,
"551,138,道,曙光,0.009785613045096397,0.0071018231101334095,Nf,Na",1,,,,,
明年 墾丁 又 是 全 國 第一 [1]{道} [2]{曙光} 的 落點,1,,,,,
數 著 數 著 等待 黎明 的 第一 [1]{道} [2]{曙光},1,,,,,
去年 在 吉國 欣賞 全球 第一 [1]{道} [2]{曙光},1,,,,,
在 當地 欣賞 全球 第一 [1]{道} [2]{曙光},1,,,,,
也 為 產業 帶來 一 [1]{道} [2]{曙光},1,,,,,
"552,138,枚,核子彈,0.01272712741047144,0.007243933621793985,Nf,Na",1,,,,,
可能 更多 [1]{枚} [2]{核子彈} 的 武器 級鈽,1,,,,,
國際 原子能 總署 估計 北韓 可能 擁有 多達 六 [1]{枚} [2]{核子彈},1,,,,,
北韓 可能 已 生產 多達 九 [1]{枚} 的 [2]{核子彈},1,,,,,
也許 在 十 年 內 即可 擁有 一 [1]{枚} [2]{核子彈},1,,,,,
已 宣稱 擁有 數 [1]{枚} [2]{核子彈} 的 北韓,1,,,,,
"553,138,架,民航機,0.015466888435184956,0.009346663020551205,Nf,Na",1,,,,,
一 [1]{架} 以色列 [2]{民航機} 在 肯亞 沒有 被 兩 枚 飛彈 擊落,1,,,,,
這 型 飛彈 曾 於 一九八六年 在 蘇丹 擊落 過 一 [1]{架} [2]{民航機},1,,,,,
同時 海峽 每 天 約 九百 到 一千 [1]{架} 世界 各 國 的 [2]{民航機} 通過,1,,,,,
蓋 達 組織 領袖 賓拉登 要求 他 實現 駕駛 一 [1]{架} [2]{民航機} 撞擊 白宮 的 夢想,1,,,,,
摧毀 十三 [1]{架} [2]{民航機},1,,,,,
"554,138,個,單位,0.0029574260115623474,0.0032634094823151827,Nf,Na",1,,,,,
今年 九月 美國 成屋 銷售量 有 六百七十五萬 [1]{個} [2]{單位},1,,,,,
供應 於 醫療用 血 共 五百三十萬五千七百九十八 [1]{個} [2]{單位},1,,,,,
高於 歐洲 民眾 平均 飲用 量 五點一 [1]{個} [2]{單位},1,,,,,
共有 八十七 [1]{個} 愛心 [2]{單位} 參與 設攤,1,,,,,
涉及 兩萬五千多 [1]{個} [2]{單位},1,,,,,
"555,137,隻,鳥,0.01656649261713028,0.011708502657711506,Nf,Na",1,,,,,
後來 在 大廈 三 層 平臺 上 又 發現 一 [1]{隻} 死 [2]{鳥},1,,,,,
現時 香港 共 發現 十七 [1]{隻} 禽流 [2]{鳥},1,,,,,
這 [1]{隻} [2]{鳥} 已經 死 了,1,,,,,
均 為 同 一 [1]{隻} [2]{鳥} 媽媽,1,,,,,
林管處 特別 為 這 [1]{隻} [2]{鳥} 媽媽 辦理 命名 活動,1,,,,,
"556,137,枚,火箭,0.014495309442281723,0.010209668427705765,Nf,Na",1,,,,,
此外 也 至少 走私 了 十五 [1]{枚} [2]{火箭} 到 加薩走廊,1,,,,,
至少 有 十 [1]{枚} [2]{火箭} 落 到 這 個 位於 地中海 邊 的 港埠,1,,,,,
並 有 多 [1]{枚} [2]{火箭} 落在 以色列 北部 地區,1,,,,,
大約 一千 [1]{枚} [2]{火箭} 落入 以色列 北部 地區,1,,,,,
全 市 共落 下 五 [1]{枚} [2]{火箭},1,,,,,
"557,137,頭,牛隻,0.013850929215550423,0.010423935018479824,Nf,Na",1,,,,,
檢疫 人員 已 採集 近 三萬四千 [1]{頭} [2]{牛隻} 的 血液 樣本,1,,,,,
美國 總數 九千五百萬 [1]{頭} 的 [2]{牛隻},1,,,,,
當場 查獲 張姓 負責人 夫婦 正在 肢解 三 [1]{頭} [2]{牛隻},1,,,,,
以 加國 一千七百萬 [1]{頭} [2]{牛隻} 的 總數 來 看,1,,,,,
已經 檢驗 十一萬五千 [1]{頭} [2]{牛隻},1,,,,,
"558,137,項,項目,0.007919521071016788,0.0033536390401422977,Nf,Na",1,,,,,
三 [1]{項} 軍 購 [2]{項目} 中,1,,,,,
最少 可以 分 [1]{項} 討論 各別 的 軍 購 [2]{項目},1,,,,,
再 加上 三 [1]{項} 日本 農林 水產 省得 加 檢 [2]{項目},1,,,,,
景氣 對策 信號 九 [1]{項} 構成 [2]{項目} 燈號 中,1,,,,,
九 [1]{項} 構成 [2]{項目} 燈號 中,1,,,,,
"559,137,封,恐嚇信,0.018483510240912437,0.013621590100228786,Nf,Na",1,,,,,
並 附有 一 [1]{封} [2]{恐嚇信},1,,,,,
本週 稍早 在 契爾 西 足球隊 訓練場 接到 三 [1]{封} 死亡 [2]{恐嚇信},1,,,,,
這 三 [1]{封} 充滿 恨意 的 [2]{恐嚇信},1,,,,,
四 [1]{封} [2]{恐嚇信} 的 收件人 均 是 安倍,1,,,,,
他 寫 了 八 [1]{封} 附有 刀片 的 [2]{恐嚇信},1,,,,,
"560,137,項,協定,0.007609594147652388,0.005583635065704584,Nf,Na",1,,,,,
而 他 所 援引 的 兩 [1]{項} [2]{協定},1,,,,,
該 [1]{項} [2]{協定} 已 在 菲律賓 上任 總統 艾斯 特拉達 時代 重新 審核 過,1,,,,,
否認 該 [1]{項} [2]{協定} 將 助長 南亞 武器 競賽,1,,,,,
美國 繼續 針對 未來 十二 [1]{項} [2]{協定} 進行 協商,1,,,,,
辜汪 會談 訂定 四 [1]{項} [2]{協定},1,,,,,
"561,136,項,建議,0.005971837323158979,0.004777710419148207,Nf,Na",1,,,,,
臚列 一百二十五 [1]{項} [2]{建議},1,,,,,
提供 讀者 二十九 [1]{項} [2]{建議},1,,,,,
羅慕斯 對 該 [1]{項} [2]{建議} 卻 表示 強烈 反對,1,,,,,
青輔會 也 蒐集 了 五十多 [1]{項} [2]{建議} 議題,1,,,,,
形成 七 [1]{項} 共同 [2]{建議},1,,,,,
"562,136,圓,夢想,0.012058435007929802,0.011564447544515133,Nf,Na",4,,,,,
終於 可以 一 [1]{圓} 出國 去 迪士尼 樂園 玩 的 [2]{夢想},4,,,,,
較 有 希望 一 [1]{圓} 購屋 [2]{夢想},4,,,,,
這 部 電影 除了 一 [1]{圓} 他 拍 電影 當 警察 的 [2]{夢想},4,,,,,
再 開家 營造 公司 一 [1]{圓} [2]{夢想},4,,,,,
一 [1]{圓} 求學 的 [2]{夢想},4,,,,,
"563,136,場,盛宴,0.014651771634817123,0.006582044996321201,Nf,Na",1,,,,,
讓 音樂廳 內外 樂迷 享受 一 [1]{場} 難得 的 古典樂 [2]{盛宴},1,,,,,
並 在 大自然 的 環抱 下 欣賞 一 [1]{場} 音樂 [2]{盛宴},1,,,,,
為 使 母親 們 享受 一 [1]{場} 豐富 的 心靈 [2]{盛宴},1,,,,,
兩 人 並 在 今天 開幕 前夕 的 記者會 中 邀請 市民 共享 這 [1]{場} 電影 [2]{盛宴},1,,,,,
共享 這 [1]{場} 音樂 [2]{盛宴},1,,,,,
"564,135,樁,醜聞,0.013426899909973145,0.011942953802645206,Nf,Na",1,,,,,
科羅拉多州 州長 歐文 斯 在 獲悉 這 [1]{樁} 杏壇 [2]{醜聞} 後,1,,,,,
地主國 發生 的 第二 [1]{樁} [2]{醜聞},1,,,,,
這 [1]{樁} 性 [2]{醜聞} 爆發 後,1,,,,,
去年 耶誕節 前夕 發生 一 [1]{樁} 不堪 入耳 的 [2]{醜聞} 事件,1,,,,,
逐漸 演變為 一 [1]{樁} 政治 [2]{醜聞},1,,,,,
"565,135,個,籃板,0.010869383811950684,0.003967585042119026,Nf,Na",1,,,,,
外加 十七 [1]{個} [2]{籃板},1,,,,,
二點八 [1]{個} [2]{籃板},1,,,,,
外帶 生涯 季後賽 新高 的 十七 [1]{個} [2]{籃板},1,,,,,
全 場 摘下 四十八 [1]{個} [2]{籃板},1,,,,,
人高馬大 的 紐西蘭隊 比 中華隊 多抓 十六 [1]{個} [2]{籃板},1,,,,,
"566,135,班,航機,0.00981140322983265,0.008170213550329208,Nf,Na",1,,,,,
三十六 [1]{班} 來往 台灣 的 [2]{航機} 被 取消,1,,,,,
今 早 有 三 [1]{班} 由 台灣 返 港 的 [2]{航機} 取消,1,,,,,
當中 三十二 [1]{班} [2]{航機} 取消,1,,,,,
六 [1]{班} [2]{航機} 取消,1,,,,,
香港 國際 機場 全 天 共有 六十三 [1]{班} [2]{航機} 取消,1,,,,,
"567,135,英尺,貨櫃,0.00765283452346921,0.00840749591588974,Nf,Na",1,,,,,
同時 循線 追查出 另 一 只 二十 [1]{英尺} [2]{貨櫃},1,,,,,
緝獲 一 只 以 輸出 鷹架 及 輸運 帶 零件 到 香港 的 四十 [1]{英尺} [2]{貨櫃},1,,,,,
把 亞洲 和 美國 西海岸 間 的 四十 [1]{英尺} [2]{貨櫃} 運費 調高 二百八十五 美元,1,,,,,
台灣 十 日 捐贈 巴拿馬 國家 彩票局 七 個 四十 [1]{英尺} [2]{貨櫃} 的 人道 援助 物品,1,,,,,
前後 送出 十五 個 四十 [1]{英尺} 的 [2]{貨櫃} 物資,1,,,,,
"568,134,屆,選舉,0.005602323915809393,0.0075798132456839085,Nf,Na",1,,,,,
也 可望 如同 前 幾 [1]{屆} 議長 [2]{選舉} 一般,1,,,,,
另外 這 [1]{屆} [2]{選舉} 因 選罷法 修正,1,,,,,
熊金郎 在 這 一 [1]{屆} 鄉長 [2]{選舉} 中,1,,,,,
經過 兩 [1]{屆} 國會 [2]{選舉},1,,,,,
新 一 [1]{屆} 台商 會長 [2]{選舉} 角逐 非常 激烈,1,,,,,
"569,134,艘,船艦,0.01742585562169552,0.009982073679566383,Nf,Na",1,,,,,
是 一 [1]{艘} 多 用途 [2]{船艦},1,,,,,
另一方面 英國 也 派出 六 [1]{艘} [2]{船艦} 前往 當地,1,,,,,
加拿大 政府 已 準備 了 七 [1]{艘} 撤僑 [2]{船艦},1,,,,,
其餘 六 [1]{艘} [2]{船艦} 未能 按時 前來 接載,1,,,,,
以 搭乘 英國 大使館 所 安排 的 最後 一 [1]{艘} [2]{船艦} 出境,1,,,,,
"570,133,隊,隊長,0.01703508570790291,0.01081052701920271,Nf,Na",0,,,,,
他 並 和 刑事局 偵 九 [1]{隊} [2]{隊長} 李相臣,0,,,,,
偵 九 [1]{隊} [2]{隊長} 李 向 臣 表示,0,,,,,
全 [1]{隊} 在 [2]{隊長} 兼 門將 庫貝特 率領 下 在 巴黎 觀看 電視 轉播,0,,,,,
國道 三 [1]{隊} [2]{隊長} 張棟樑 說,0,,,,,
該 [1]{隊} [2]{隊長} 阿巴洛 吃 紅牌 遭 驅逐出 場,0,,,,,
"571,133,週年,院慶,0.012368416413664818,0.009624244645237923,Nf,Na",1,,,,,
二十三 [1]{週年} [2]{院慶} 由 祥獅 獻瑞 表演 展開,1,,,,,
高雄 市立 聯合 醫院 今天 舉行 三 [1]{週年} [2]{院慶},1,,,,,
配合 八十 [1]{週年} [2]{院慶} 所 推出 的 大觀 特展 也 因而 順延 到 十二月 二十五日 故宮 正 館 重新 開幕 時 推出,1,,,,,
到 八里 愛 維 養護 中心 參加 七 [1]{週年} [2]{院慶},1,,,,,
高雄 醫學 大學 附設 醫院 今天 歡慶 四十九 [1]{週年} [2]{院慶},1,,,,,
"572,133,座,城市,0.007139305118471384,0.005185758229345083,Nf,Na",1,,,,,
經 狂風 暴雨 襲擊 的 數十 [1]{座} [2]{城市} 居民,1,,,,,
其中 一百一十 [1]{座} [2]{城市} 嚴重 缺 水,1,,,,,
有 四百餘 [1]{座} [2]{城市} 供水 不足,1,,,,,
世界杯 足球賽 正 如火如荼 在 德國 全 國 十二 [1]{座} [2]{城市} 展開,1,,,,,
碧根鮑華 搭乘 贊助 廠商 提供 的 直昇機 來回 奔波 十二 [1]{座} [2]{城市},1,,,,,
"573,132,個,政黨,0.0062817176803946495,0.0029631888028234243,Nf,Na",1,,,,,
由於 台聯 是 [1]{個} 尊重 人權 的 [2]{政黨},1,,,,,
正式 成為 中華民國 第一百零六 [1]{個} [2]{政黨},1,,,,,
更 一直 是 [1]{個} 年輕 的 [2]{政黨},1,,,,,
成為 首 [1]{個} 提出 黨團 版本 的 [2]{政黨},1,,,,,
民進黨 是 [1]{個} 可以 敬佩 的 [2]{政黨},1,,,,,
"574,131,位,代表,0.007474615704268217,0.005394819192588329,Nf,Na",1,,,,,
將 與 其他 學校 的 三百三十多 [1]{位} 模範生 [2]{代表},1,,,,,
台大 校務 會議 有 三百三十一 [1]{位} [2]{代表},1,,,,,
將 推出 八十六 [1]{位} [2]{代表},1,,,,,
要 拜託 各 [1]{位} 青年 公民 [2]{代表} 來 安排,1,,,,,
某 [1]{位} [2]{代表} 為 尋求 當選,1,,,,,
"575,131,名,幹部,0.010671702213585377,0.004246492870151997,Nf,Na",1,,,,,
這 [1]{名} [2]{幹部} 說,1,,,,,
亦 有 多 [1]{名} [2]{幹部} 前往 聲援,1,,,,,
據說 薩瓦里 與 蓋達 組織 多 [1]{名} [2]{幹部} 就 住 在 馬木德村,1,,,,,
這 [1]{名} 台商 [2]{幹部} 說,1,,,,,
旗下 並 有 多 [1]{名} [2]{幹部} 負責 放款,1,,,,,
"576,131,份,請願書,0.01757337711751461,0.009893925860524178,Nf,Na",1,,,,,
這 [1]{份} [2]{請願書} 說,1,,,,,
提交 一 [1]{份} 全面 禁止 使用 猴子 實驗 的 [2]{請願書},1,,,,,
三 個 工會 正在 流傳 一 [1]{份} [2]{請願書},1,,,,,
這 [1]{份} [2]{請願書} 上 有 來自 全球 一百六十 個 國家 一百萬 人 的 肖像,1,,,,,
這 [1]{份} [2]{請願書} 就 是 這 一百萬 死者 的 相片,1,,,,,
"577,131,位,得獎人,0.010032271966338158,0.005551575217396021,Nf,Na",1,,,,,
有 五 [1]{位} [2]{得獎人},1,,,,,
八 [1]{位} [2]{得獎人} 為,1,,,,,
他 推 祟 五 [1]{位} [2]{得獎人} 都 是 台灣 的 文化 英雄,1,,,,,
其他 三 [1]{位} [2]{得獎人} 是,1,,,,,
但 今天 以 總統 的 身分 接見 各 [1]{位} [2]{得獎人},1,,,,,
"578,130,輛,戰車,0.014552419073879719,0.00821047741919756,Nf,Na",1,,,,,
這些 武裝 部隊 人員 將 隨同 一 [1]{輛} [2]{戰車},1,,,,,
先 是 一 [1]{輛} [2]{戰車} 在 沙灘 上 不能 動,1,,,,,
這 筆 交易 也 包括 英國 航太 公司 同意 將 四百五十 [1]{輛} 老舊 布萊德雷 [2]{戰車},1,,,,,
尤其 會場 外 展示 的 一 [1]{輛} 迷彩 [2]{戰車},1,,,,,
十五 [1]{輛} 以色列 [2]{戰車} 向 前 推進 數百 公尺 後,1,,,,,
"579,130,處,工地,0.011605090461671352,0.005644327495247126,Nf,Na",1,,,,,
在 一 [1]{處} 約 五 公尺 深 的 [2]{工地} 下面,1,,,,,
將 彰濱 工業區 內 三十多 [1]{處} 發電 機組 [2]{工地} 的 樹木 砍掉,1,,,,,
這些 廢棄物 是 日前 在 台北市 基隆路 一 [1]{處} [2]{工地},1,,,,,
座落 在 齊東街 一 [1]{處} [2]{工地} 裡 的 老 龍眼樹,1,,,,,
這 [1]{處} [2]{工地} 進度 稍嫌 落後,1,,,,,
"580,130,個,位子,0.009362544864416122,0.003576883114874363,Nf,Na",1,,,,,
主辦 單位 在 開演 前 又 加 了 四百 [1]{個} [2]{位子},1,,,,,
只好 出高價 標 下 兩 [1]{個} [2]{位子},1,,,,,
所以 只 開放 一百五十 [1]{個} [2]{位子},1,,,,,
且 每 [1]{個} [2]{位子} 可以 三百六十 度 轉動,1,,,,,
才 能 在 產業 中 各 [1]{個} 供應 鏈 [2]{位子} 習得 經驗,1,,,,,
"581,130,對,雙胞胎,0.017043674364686012,0.004394240211695433,Nf,Na",1,,,,,
二十多 [1]{對} [2]{雙胞胎} 在 學校 齊聚一堂 的 情形 不 多 見,1,,,,,
這 五 [1]{對} [2]{雙胞胎} 就是 上帝 親手 調製出 的 複製人,1,,,,,
這 [1]{對} [2]{雙胞胎} 有 過 動 的 傾向,1,,,,,
其中 更 有 八 [1]{對} 是 [2]{雙胞胎},1,,,,,
可 說 是 破 歷年來 的 紀錄 的 就是 有 八 [1]{對} [2]{雙胞胎},1,,,,,
"582,129,張,廢票,0.010735408402979374,0.007301483768969774,Nf,Na",1,,,,,
若 有 二十五 [1]{張} [2]{廢票},1,,,,,
扣除 一 [1]{張} [2]{廢票},1,,,,,
除 三 [1]{張} [2]{廢票} 外,1,,,,,
十四 [1]{張} [2]{廢票},1,,,,,
及 二萬三千 [1]{張} [2]{廢票},1,,,,,
"583,129,株,樹苗,0.016984818503260612,0.01273392979055643,Nf,Na",1,,,,,
由 台南 縣長 蘇煥智 等 人 共同 參與 十萬 [1]{株} [2]{樹苗} 植樹 運動,1,,,,,
他 巡視 每 [1]{株} [2]{樹苗},1,,,,,
黃敏惠 贈送 一 [1]{株} 台灣 紅檜 [2]{樹苗},1,,,,,
英美 菸草 台灣 公司 今年 仍 捐贈 一萬 [1]{株} [2]{樹苗},1,,,,,
英美 菸草 台灣 公司 每 年 都 捐出 一萬 [1]{株} [2]{樹苗} 供 復育 造林,1,,,,,
"584,129,名,男童,0.01246639434248209,0.006368443835526705,Nf,Na",1,,,,,
這 [1]{名} [2]{男童} 因為 高燒,1,,,,,
未 進一步 追逐 該 [1]{名} [2]{男童},1,,,,,
這 [1]{名} [2]{男童} 是 在 今天 上午 八時,1,,,,,
這 [1]{名} 國小 一年級 [2]{男童} 雙頰 腫 得 不像話,1,,,,,
迅速 將 這 [1]{名} [2]{男童} 搶救 上岸,1,,,,,
"585,129,具,遺體,0.011246680282056332,0.0051382458768785,Nf,Na",1,,,,,
法新社 記者 則 在 騷亂 翌日 在 街道 上 見到 總共 六十 [1]{具} [2]{遺體},1,,,,,
目前 發現 三十一 [1]{具} [2]{遺體},1,,,,,
三十五 [1]{具} [2]{遺體} 中,1,,,,,
醫院 急診室 收到 三 [1]{具} [2]{遺體},1,,,,,
在 海灘 發現 一 [1]{具} [2]{遺體},1,,,,,
"586,129,號,衛星,0.013365806080400944,0.006627342198044062,Nf,Na",1,y,,,,
該 公司 的 亞太 六 [1]{號} [2]{衛星} 昨晚 遭到 法輪功 多 次 蓄意 干擾 或 中斷,1,,,,,
台灣 從 福爾摩沙 一 [1]{號} 到 三 號 [2]{衛星},1,,,,,
並 負責 福爾摩沙 一 [1]{號} [2]{衛星} 的 相關 科學 研究 任務,1,,,,,
二 [1]{號} 機 的 暱稱 也 將 沿用 先前 的 氣象 [2]{衛星},0,,未選緊鄰NP,,,
福爾摩沙 三 [1]{號} [2]{衛星},1,,,,,
"587,129,隻,動物,0.01852341927587986,0.01307730097323656,Nf,Na",1,,,,,
不會 因 二 [1]{隻} 可愛 [2]{動物} 而 被 中國 統戰,1,,,,,
每 [1]{隻} [2]{動物} 他 都 悉心 照料,1,,,,,
還 怕 兩 [1]{隻} [2]{動物} 著涼,1,,,,,
是 一 [1]{隻} 超級 [2]{動物} 明星,1,,,,,
確定 這 [1]{隻} [2]{動物} 就是 白 鼻心,1,,,,,
"588,128,面,國旗,0.01272339653223753,0.008293820545077324,Nf,Na",1,,,,,
但 造勢 場合 卻 沒有 半 [1]{面} [2]{國旗},1,,,,,
這 [1]{面} [2]{國旗} 的 製作 者 就是 當地 一 對 接受 來自 台灣 援助 的 印地安 母女,1,,,,,
今年 已經 賣 了 三十五萬 [1]{面} [2]{國旗},1,,,,,
凡 爾 登 地區 大約 有 十五 [1]{面} [2]{國旗} 遭竊,1,,,,,
洛杉磯 的 這 [1]{面} 中國 [2]{國旗},1,,,,,
"589,128,班,飛機,0.0063512627966701984,0.0061622727662324905,Nf,Na",1,,,,,
這 [1]{班} [2]{飛機} 預計 晚間 七時 以後 返抵 上海,1,,,,,
這 [1]{班} [2]{飛機} 上 的 旅客 包括 張秀 卿 一 家 三 口 及 另 一 名 藝人 戒祥,1,,,,,
形成 二 [1]{班} 不同 的 家屬 [2]{飛機},1,,,,,
這 [1]{班} [2]{飛機} 上,1,,,,,
經 查證 名單 這 [1]{班} [2]{飛機} 上 沒有 台灣人 與 中國人,1,,,,,
"590,128,冊,書籍,0.013713330961763859,0.01410763245075941,Nf,Na",1,,,,,
高雄市 政府 市立 圖書館 順利 募得 三十萬 [1]{冊} 的 [2]{書籍} 及 近 千萬 元 的 捐款,1,,,,,
只 能 購買 三萬 [1]{冊} 的 [2]{書籍},1,,,,,
協會 從 去年年 起 捐贈 基隆 監獄 一百三十二 [1]{冊} [2]{書籍},1,,,,,
這 次 獲贈 兩千七百多 [1]{冊} [2]{書籍},1,,,,,
總計 致贈 六萬多 [1]{冊} 的 [2]{書籍},1,,,,,
"591,128,平方公里,面積,0.01236023660749197,0.011185909621417522,Nf,Na",1,,,,,
今年 六一二 豪雨 造成 南部 地區 超過 五百 [1]{平方公里} [2]{面積} 淹水,1,,,,,
與 目前 中國 一百七十四萬 [1]{平方公里} 的 沙漠 [2]{面積} 比較,1,,,,,
涵蓋 台北市 一百三十 [1]{平方公里} [2]{面積},1,,,,,
還 應 提高 上游 九千 [1]{平方公里} 匯水 [2]{面積} 的 森林 覆 被 率,1,,,,,
澎湖 約 一百二十六 [1]{平方公里} 的 土地 [2]{面積},1,,,,,
"592,127,隻,羊,0.019471902400255203,0.012788321822881699,Nf,Na",1,,,,,
相當於 十七萬五千 [1]{隻} [2]{羊} 單位 一 年 的 食草 量,1,,,,,
花 了 新台幣 二十萬 元 買 了 一 [1]{隻} 種 [2]{羊},1,,,,,
每 瓶 稀釋 後 能 接種 兩百 [1]{隻} [2]{羊},1,,,,,
腳 邊 站 著 另 一 [1]{隻} [2]{羊},1,,,,,
在 發現 七 [1]{隻} [2]{羊} 的 屍體 後,1,,,,,
